RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15565701,Smith,705,France,Female,45,9,41075.26347563891,1,1,0,74500.29624579065,0
1,15565702,Smith,618,France,Male,38,1,59725.02684731736,3,1,1,96028.03107248004,0
2,15565703,Smith,705,Spain,Male,47,9,45130.94694774286,2,1,1,76079.74027132732,0
3,15565704,Smith,748,Germany,Male,58,2,80520.90234730598,1,1,1,74748.44025839961,0
4,15565705,Smith,562,Spain,Male,37,8,134858.92657309564,4,1,1,142919.48628757862,0
5,15565706,Smith,535,France,Male,37,4,36447.89214293977,1,1,0,100391.64963675021,0
6,15565707,Smith,796,France,Female,58,2,125041.02488842071,3,0,0,142747.3077773227,1
7,15565708,Smith,644,Germany,Female,49,4,35916.39638265562,3,1,1,177377.06189411692,1
8,15565709,Smith,682,France,Male,34,2,32618.63937515579,1,1,0,110099.03653106857,0
9,15565710,Smith,741,France,Male,46,10,115929.73091716066,1,0,0,49711.92282223188,0
10,15565711,Smith,553,Spain,Male,34,4,121096.81890038084,4,1,1,119515.49276763904,0
11,15565712,Smith,740,France,Male,34,9,117570.4968381327,1,1,0,115366.223607878,0
12,15565713,Smith,714,Germany,Male,42,5,9210.129589092947,1,1,1,80289.61774796025,0
13,15565714,Smith,797,France,Female,18,10,51702.45109639746,1,0,0,137123.03610640095,0
14,15565715,Smith,795,France,Male,19,8,116149.42960016607,2,1,1,80942.27520387874,0
15,15565716,Smith,656,France,Female,33,1,77077.09202819473,2,1,1,83193.12270893608,0
16,15565717,Smith,725,Spain,Female,27,2,21315.357690126788,3,1,0,70366.00815669107,0
17,15565718,Smith,654,Spain,Female,43,5,97915.89695627209,3,1,0,109928.5847231092,1
18,15565719,Smith,664,Germany,Female,29,1,39259.63705042648,3,1,0,112317.42682531213,1
19,15565720,Smith,537,France,Female,23,7,164726.24241961061,1,0,1,114830.28693082076,0
20,15565721,Smith,627,France,Male,57,9,152242.07312091294,2,1,0,137641.58795368427,1
21,15565722,Smith,470,France,Male,37,6,105204.87131777836,1,1,0,112342.67482771994,0
22,15565723,Smith,636,Germany,Female,40,0,143050.33523848868,1,1,1,67513.9586881761,0
23,15565724,Smith,782,France,Male,22,4,78239.56750616906,2,0,0,102524.27141352696,0
24,15565725,Smith,727,Spain,Male,33,4,113271.8747187508,1,1,1,45234.21915534359,0
25,15565726,Smith,661,Germany,Female,41,0,148886.01476510376,3,1,1,166746.42331818375,0
26,15565727,Smith,629,France,Male,26,5,87274.93408971564,1,1,1,19399.74799569875,0
27,15565728,Smith,595,Spain,Female,44,1,62240.641424285815,2,1,1,102955.58916744987,0
28,15565729,Smith,558,France,Male,32,2,0.0,1,0,0,112965.05297932663,0
29,15565730,Smith,731,France,Male,36,4,70843.3237139253,1,1,1,153049.70125242593,0
30,15565731,Smith,496,France,Female,32,5,116171.15922811558,1,1,1,67478.462198537,0
31,15565732,Smith,494,Germany,Male,62,10,122281.67137838149,1,1,0,122810.5017018585,1
32,15565733,Smith,740,France,Male,39,1,100218.25328592048,1,1,0,11216.050805703984,0
33,15565734,Smith,670,France,Female,27,3,47935.045251888005,3,1,1,129103.4841801402,0
34,15565735,Smith,654,France,Female,49,2,0.0,2,0,0,111059.34112312978,1
35,15565736,Smith,670,France,Male,25,0,50239.24509976324,1,1,1,64613.3839466146,0
36,15565737,Smith,850,Germany,Female,42,3,59782.756447302425,1,0,0,82773.93878509135,1
37,15565738,Smith,655,France,Male,18,5,59353.551640499296,1,1,0,116719.64937603865,0
38,15565739,Smith,679,Germany,Female,24,9,105927.81784889623,1,0,1,102082.39540127083,0
39,15565740,Smith,850,Germany,Male,42,6,174283.82055074198,2,1,0,108100.54564344986,0
40,15565741,Smith,643,Germany,Female,48,5,81176.46009205465,1,1,1,100959.3318591826,0
41,15565742,Smith,822,France,Male,42,0,64163.41054217692,2,0,0,103552.85383439586,0
42,15565743,Smith,439,France,Male,38,4,62038.90934979537,1,0,0,158054.05530797396,0
43,15565744,Smith,533,Spain,Male,36,4,81219.2383453857,2,1,1,137727.61350053456,0
44,15565745,Smith,583,France,Male,22,5,33585.31198258005,2,1,1,113478.49305733912,0
45,15565746,Smith,708,Spain,Female,31,4,81009.92793730275,1,1,1,110821.58655458689,0
46,15565747,Smith,827,France,Male,34,8,97540.61681658999,2,1,1,86979.32142234378,0
47,15565748,Smith,590,Germany,Male,52,5,85484.30317872441,2,0,1,180940.65695171437,0
48,15565749,Smith,747,France,Male,44,10,97877.09670023905,2,1,1,69438.8327831263,0
49,15565750,Smith,850,France,Male,18,8,96687.38046742676,1,1,0,26869.25075772134,0
50,15565751,Smith,806,Spain,Female,43,3,0.0,3,1,1,47696.84394714137,0
51,15565752,Smith,609,France,Male,35,2,106843.50791977016,2,1,0,10000.0,0
52,15565753,Smith,736,France,Female,31,5,41449.25771687732,1,1,0,143800.25310465842,0
53,15565754,Smith,683,France,Male,47,0,20208.041849802103,1,0,0,26151.89214700526,1
54,15565755,Smith,584,France,Male,52,9,19777.40860725019,1,1,0,157638.92457019776,1
55,15565756,Smith,692,France,Male,51,4,96677.08052362647,1,0,1,73417.57419863924,0
56,15565757,Smith,602,France,Male,29,1,63871.25363875735,4,1,0,24342.04571790369,1
57,15565758,Smith,662,France,Female,36,5,0.0,1,1,0,93524.27323427875,0
58,15565759,Smith,512,France,Male,43,2,98901.89075961418,3,1,0,183156.10738022946,1
59,15565760,Smith,473,France,Female,51,8,3019.5934600586334,1,1,0,80822.60733984242,1
60,15565761,Smith,621,Spain,Male,34,1,81991.06792591054,1,0,1,200000.0,0
61,15565762,Smith,681,France,Female,37,0,86924.94628365271,4,1,0,28253.481262039102,1
62,15565763,Smith,537,France,Female,26,6,119278.85408475224,1,1,0,112205.23294581164,0
63,15565764,Smith,702,Germany,Male,25,4,164084.23932334257,2,1,0,123723.8125649829,0
64,15565765,Smith,654,Spain,Male,49,0,6766.183704972922,3,0,0,141982.0410646993,1
65,15565766,Smith,715,France,Male,56,4,72376.30719684753,3,0,1,145174.25664370816,1
66,15565767,Smith,744,Germany,Male,39,3,61183.23524778913,2,1,0,102054.37153106011,0
67,15565768,Smith,784,Spain,Female,52,0,96687.4842980481,3,0,0,160776.93011093492,1
68,15565769,Smith,710,France,Female,44,7,85783.43854668093,2,1,0,68852.40711485359,0
69,15565770,Smith,620,Germany,Female,32,3,57372.687863169005,1,1,0,72231.59537313945,0
70,15565771,Smith,668,France,Male,44,9,52954.890569457224,2,1,1,87928.30399383626,0
71,15565772,Smith,850,Germany,Female,58,6,19177.457240797623,4,1,0,85334.7563306153,1
72,15565773,Smith,748,France,Male,39,5,124393.07912032546,2,1,1,110272.32670553509,0
73,15565774,Smith,657,France,Male,58,8,97960.20907997646,1,1,1,132340.19467033393,0
74,15565775,Smith,634,Spain,Female,18,0,120888.40988975686,2,0,0,93895.98602773112,0
75,15565776,Smith,590,France,Male,49,9,59480.19317622432,2,1,1,70041.72161391738,0
76,15565777,Smith,531,France,Female,41,8,42158.22656527848,1,1,1,137054.11781022543,0
77,15565778,Smith,820,Germany,Male,36,7,21084.24666853861,2,0,1,127921.406655168,0
78,15565779,Smith,697,France,Female,41,10,92945.87918703297,2,0,0,63492.08265524952,0
79,15565780,Smith,523,Germany,Female,18,4,23010.33877358827,2,1,1,27889.939061463927,0
80,15565781,Smith,637,France,Male,37,2,167433.1534483275,1,0,0,144578.96578784563,0
81,15565782,Smith,777,Germany,Male,44,9,9617.87094532798,1,1,0,115850.56556740987,1
82,15565783,Smith,605,France,Female,57,1,88683.0059606251,2,1,1,23720.53159713067,0
83,15565784,Smith,568,Spain,Male,33,8,153342.7353606893,2,1,1,133792.1375624554,0
